,interacted_at;DATA;;;;;;VENDAS TOTAIS;Compras e offers;REWARDS
101238;08/01/2019;22:09:00;1;;;;;;
100470;08/01/2019;22:14:00;1;;;;;;
100922;08/01/2019;22:15:00;1;;;;;;
101241;08/01/2019;22:20:00;1;;;;;;
100785;08/01/2019;22:23:00;1;;;;;;
101027;08/01/2019;22:25:00;1;;;;;;
100925;08/01/2019;22:25:00;1;;;;;;
100927;08/01/2019;22:35:00;1;;;;;;
100545;08/01/2019;23:00:00;1;;;;;;
100933;08/01/2019;23:01:00;1;;;;;;
100813;08/01/2019;23:01:00;1;;;;;;
100935;08/01/2019;23:09:00;1;;;;;;
100936;08/01/2019;23:10:00;1;;;;;;
100477;08/01/2019;23:13:00;1;;;;;;
100478;08/01/2019;23:16:00;1;;;;;;
101248;08/01/2019;23:20:00;1;;;;;;
101823;08/01/2019;23:23:00;1;;;;;;
100939;08/01/2019;23:25:00;1;;;;;;
100814;08/01/2019;23:26:00;1;;;;;;
100943;08/01/2019;23:39:00;1;;;;;;
100745;08/01/2019;23:47:00;1;;;;;;
100945;08/01/2019;23:48:00;1;;;;;;
100746;08/01/2019;23:48:00;1;;;;;;
100549;08/01/2019;23:55:00;1;;;;;;
122510;09/01/2019;00:10:00;1;;;;;;
123543;09/01/2019;00:22:00;1;;;;;;
123004;09/01/2019;00:27:00;1;;;;;;
122733;09/01/2019;00:35:00;1;;;;;;
123007;09/01/2019;00:41:00;1;;;;;;
122701;09/01/2019;00:51:00;1;;;;;;
122740;09/01/2019;00:53:00;1;;;;;;
123471;09/01/2019;01:01:00;1;;;;;;
122742;09/01/2019;14:57:00;1;;;;;;
122702;09/01/2019;15:06:00;1;;;;;;
123557;09/01/2019;15:07:00;1;;;;;;
123558;09/01/2019;15:11:00;1;;;;;;
123559;09/01/2019;15:14:00;1;;;;;;
123472;09/01/2019;15:15:00;1;;;;;;
122349;09/01/2019;15:24:00;1;;;;;;
122350;09/01/2019;15:25:00;1;;;;;;
121653;09/01/2019;15:26:00;1;;;;;;
123563;09/01/2019;15:32:00;1;;;;;;
122755;09/01/2019;15:34:00;1;;;;;;
122758;09/01/2019;15:43:00;1;;;;;;
122759;09/01/2019;15:44:00;1;;;;;;
123330;09/01/2019;15:45:00;1;;;;;;
121659;09/01/2019;15:46:00;1;;;;;;
